School,County,District,School Address,Phone Number,Administrator,School Type,Low Grade,High Grade,Public School,Charter,Magnet,Year Round
Epic Charter,Alameda,Alameda County Office of Education,"333 Hegenberger Rd., Ste. 600 Oakland, CA 94621",(510) 689-2035,"Larissa Adam, Superintendent, (510) 689-2035, cbo@efcps.net",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Alameda High,Alameda,Alameda Unified,"2200 Central Ave. Alameda, CA 94501-4406",(510) 337-7022,"Robert Ithurburn, (510) 337-7022, rithurburn@alamedaunified.org",High Schools (Public),9,12,Yes,No,No,No
Amelia Earhart Elementary,Alameda,Alameda Unified,"400 Packet Landing Rd. Alameda, CA 94502-6534",(510) 748-4003,"Joy Dean, jdean@alamedaunified.org",Elementary Schools (Public),K,5,Yes,No,No,No
Bay Farm,Alameda,Alameda Unified,"200 Aughinbaugh Way Alameda, CA 94502-7451",(510) 748-4010,"Ms. Katherine Crawford, (510) 748-4010, kcrawford@alamedaunified.org",Elementary Schools (Public),K,8,Yes,No,No,No
Edison Elementary,Alameda,Alameda Unified,"2700 Buena Vista Ave. Alameda, CA 94501-1610",(510) 748-4002,"Gregory Sahakian, (510) 748-4002, gsahakian@alamedaunified.org",Elementary Schools (Public),K,5,Yes,No,No,No
Frank Otis Elementary,Alameda,Alameda Unified,"3010 Fillmore St. Alameda, CA 94501-5544",(510) 748-4013,"Tanya Harris, (510) 748-4013, tharris@alamedaunified.org",Elementary Schools (Public),K,5,Yes,No,No,No
Franklin Elementary,Alameda,Alameda Unified,"1433 San Antonio Ave. Alameda, CA 94501-4039",(510) 748-4004,"Lynnette Chirrick, lchirrick@alamedaunified.org",Elementary Schools (Public),K,5,Yes,No,No,No
Lincoln Middle,Alameda,Alameda Unified,"1250 Fernside Blvd. Alameda, CA 94501-4808",(510) 748-4018,"Sheila SatheWarner, (510) 748-4018, ssathewarner@alamedaunified.org",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Love Elementary,Alameda,Alameda Unified,"2025 Santa Clara Ave. Alameda, CA 94501-2720",(510) 748-4005,"Tina Lagdamen, (510) 748-4005, tlagdamen@alamedaunified.org",Elementary Schools (Public),K,5,Yes,No,No,No
Maya Lin,Alameda,Alameda Unified,"825 Taylor Ave. Alameda, CA 94501",(510) 748-4007,"Judith Goodwin, (510) 748-4007, jgoodwin@alamedaunified.org",Elementary Schools (Public),K,5,Yes,No,No,No
Ruby Bridges Elementary,Alameda,Alameda Unified,"351 Jack London Ave. Alameda, CA 94501-3901",(510) 748-4006,"Danielle Pharr-Matthews, dpharr@alamedaunified.org",Elementary Schools (Public),K,5,Yes,No,No,No
Will C. Wood Middle,Alameda,Alameda Unified,"420 Grand St. Alameda, CA 94501-5941",(510) 748-4015,"Cammie Harris, (510) 748-4015, charris@alamedaunified.org",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
William G. Paden Elementary,Alameda,Alameda Unified,"444 Central Ave. Alameda, CA 94501-3615",(510) 748-4014,"Drew Sarratore, dsarratore@alamedaunified.org",Elementary Schools (Public),K,5,Yes,No,No,No
Albany High,Alameda,Albany City Unified,"603 Key Route Blvd. Albany, CA 94706-1422",(510) 558-2500,"Darren McNally, (510) 558-2500, dmcnally@ausdk12.org",High Schools (Public),9,12,Yes,No,No,No
Albany Middle,Alameda,Albany City Unified,"1259 Brighton Ave. Albany, CA 94706-1336",(510) 558-3600,"Deborah Brill, (510) 558-3600, dbrill@ausdk12.org",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Cornell Elementary,Alameda,Albany City Unified,"920 Talbot Ave. Albany, CA 94706-2020",(510) 558-3700,"Liz Reimuller, ereimuller@ausdk12.org",Elementary Schools (Public),K,5,Yes,No,No,No
Marin Elementary,Alameda,Albany City Unified,"1001 Santa Fe Ave. Albany, CA 94706-2341",(510) 559-4700,"Melisa Pfohl, mpfohl@ausdk12.org",Elementary Schools (Public),K,5,Yes,No,No,No
Ocean View Elementary,Alameda,Albany City Unified,"1000 Jackson St. Albany, CA 94706-1904",(510) 558-4800,"Terry Georgeson, tgeorgeson@ausdk12.org",Elementary Schools (Public),K,5,Yes,No,No,No
Berkeley Arts Magnet at Whittier,Alameda,Berkeley Unified,"1645 Milvia St. Berkeley, CA 94709-2073",(510) 644-6225,"Rene Molina, (510) 644-6225, renemolina@berkeley.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
Berkeley High,Alameda,Berkeley Unified,"1980 Allston Way Berkeley, CA 94704-1463",(510) 644-6120,"Juan Raygoza, (510) 644-4803, juanraygoza@berkeley.net",High Schools (Public),9,12,Yes,No,No,No
Cragmont Elementary,Alameda,Berkeley Unified,"830 Regal Rd. Berkeley, CA 94708-1308",(510) 644-8810,"Candyce Cannon, (510) 644-8810, candycecannon@berkeley.net",Elementary Schools (Public),K,5,Yes,No,No,No
Emerson Elementary,Alameda,Berkeley Unified,"2800 Forest Ave. Berkeley, CA 94705-1309",(510) 644-6890,"Jana Holmes, janaholmes@berkeley.net",Elementary Schools (Public),K,5,Yes,No,No,No
John Muir Elementary,Alameda,Berkeley Unified,"2955 Claremont Ave. Berkeley, CA 94705-2449",(510) 644-6410,"Marco Taylor, marcotaylor@berkeley.net",Elementary Schools (Public),K,5,Yes,No,No,No
Longfellow Arts and Technology Middle,Alameda,Berkeley Unified,"1500 Derby St. Berkeley, CA 94703-1817",(510) 644-6360,"Jeremy Furlan, Princpal, (510) 644-6360, pacofurlan@berkeley.net",Intermediate/Middle Schools (Public),6,8,Yes,No,Yes,No
Malcolm X Elementary,Alameda,Berkeley Unified,"1731 Prince St. Berkeley, CA 94703-2464",(510) 644-6313,"Mr. Alex Hunt, (510) 644-6313, alexhunt@berkeley.net",Elementary Schools (Public),K,5,Yes,No,No,No
Martin Luther King Middle,Alameda,Berkeley Unified,"1781 Rose St. Berkeley, CA 94703-1048",(510) 644-6280,"Janet Levenson, (510) 644-6280, janetlevenson@berkeley.net",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Oxford Elementary at West Campus,Alameda,Berkeley Unified,"1222 University Ave. Berkeley, CA 94702-1766",(510) 644-6300,"Beth Rhine, (510) 644-6300, bethrhine@berkeley.net",Elementary Schools (Public),K,5,Yes,No,No,No
Rosa Parks Environmental Science,Alameda,Berkeley Unified,"920 Allston Way Berkeley, CA 94710-2389",(510) 644-8812,"Vanessa Flynn, vanessaflynn@berkeley.net",Elementary Schools (Public),K,5,Yes,No,No,No
